45.191,-7.777
43.593,-7.602
42.022,-7.445
40.475,-7.302
38.948,-7.173
37.438,-7.054
35.943,-6.945
34.461,-6.845
32.990,-6.753
31.530,-6.668
30.079,-6.590
28.636,-6.517
27.200,-6.450
25.772,-6.389
24.349,-6.332
22.932,-6.279
21.474,4.509
20.069,4.478
18.669,4.450
17.272,4.424
15.879,4.400
14.488,4.379
13.101,4.360
11.715,4.343
10.332,4.328
8.951,4.315
7.571,4.304
6.193,4.295
4.815,4.287
3.439,4.282
2.063,4.278
0.687,4.277
-0.689,-5.898
-2.067,-5.901
-3.446,-5.906
-4.825,-5.914
-6.206,-5.924
-7.587,-5.937
-8.970,-5.953
-10.354,-5.971
-11.740,-5.993
-13.128,-6.017
-14.519,-6.044
-15.912,-6.075
-17.309,-6.109
-18.708,-6.146
-20.112,-6.186
-21.520,-6.231
-22.883,4.543
-24.297,4.580
-25.716,4.621
-27.142,4.664
-28.574,4.712
-30.014,4.763
-31.462,4.819
-32.918,4.879
-34.385,4.945
-35.864,5.016
-37.355,5.094
-38.861,5.180
-40.384,5.273
-41.926,5.376
-43.492,5.491
-45.085,5.618
